Input,Output
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 2, 5, 5, 0, 3, 0]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 4, 4, 2, 3, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 4, 5, 1, 2, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 2, 10, 3, 3, 0, 0]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 2, 10, 4, 2, 0, 0]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 2, 3, 2, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 5, 4, 4, 2, 0]","[0, 2, 3, 2, 1, 0, 0]"
"[0, 2, 3, 2, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[0, 2, 3, 2, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 5, 5, 2, 3, 0]","[0, 2, 3, 2, 1, 0, 0]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 2, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 2, 6, 3, 0, 3]","[0, 3, 0, 3, 1, 0, 1]"
"[0, 3, 1, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 5, 4, 2, 0]","[0, 3, 1, 3, 1, 0, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 6, 2, 0, 3]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 3, 1, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 6, 3, 0, 2]","[0, 3, 1, 3, 1, 0, 0]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 0, 5, 3, 4, 1]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 1, 5, 3, 4, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 1, 6, 0, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 0, 5, 3, 4, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 0, 6, 0, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[1, 2, 3, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 3, 5, 5, 0, 3, 0]","[1, 2, 3, 2, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 3, 10, 2, 4, 0, 1]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 3, 10, 2, 4, 1, 0]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 0, 5, 5, 5, 5, 0]","[0, 0, 4, 4, 4, 0, 0]"
"[0, 3, 0, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 5, 4, 2, 2]","[0, 3, 0, 3, 1, 0, 1]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 6, 2, 2, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 6, 3, 2, 2]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 2, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 6, 4, 0, 3]","[0, 3, 2, 3, 1, 0, 1]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 4, 5, 3, 2, 2]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 2, 3, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 4, 5, 3, 3, 1]","[0, 2, 3, 2, 0, 1, 0]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 2, 5, 3, 4, 1]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 2, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[0, 3, 1, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 3, 5, 2, 4, 1]","[0, 3, 1, 3, 0, 1, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 3, 6, 1, 2, 3]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 3, 1, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 3, 6, 1, 3, 2]","[0, 3, 1, 3, 0, 1, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 3, 6, 3, 4, 1, 2]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 3, 6, 5, 1, 2, 2]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 2, 3, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 4, 4, 5, 3, 3, 0]","[0, 2, 3, 2, 0, 1, 0]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 2, 5, 3, 4, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 2, 6, 0, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[0, 3, 1, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 5, 2, 4, 0]","[0, 3, 1, 3, 0, 1, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 6, 0, 2, 3]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 3, 1, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 6, 0, 3, 2]","[0, 3, 1, 3, 0, 1, 0]"
"[1, 3, 0, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 3, 5, 4, 2, 0]","[1, 3, 0, 3, 1, 0, 0]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 3, 6, 2, 0, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[1, 3, 0, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
"[1, 3, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 4, 5, 3, 2, 0]","[1, 3, 1, 3, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 2, 12, 0, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 5, 11, 0, 2, 4, 2]","[0, 2, 5, 0, 0, 2, 1]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 5, 11, 2, 2, 4, 0]","[0, 2, 5, 1, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 11, 0, 2, 4, 0]","[1, 2, 5, 0, 0, 2, 0]"
"[1, 3, 2, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[3, 5, 3, 10, 0, 3, 0]","[1, 3, 2, 3, 0, 1, 0]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[3, 10, 0, 6, 1, 1, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[3, 10, 1, 6, 0, 1, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[3, 10, 1, 6, 1, 0, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 0, 6, 6, 5, 2, 3]","[0, 0, 4, 4, 4, 0, 0]"
"[0, 3, 2, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 4, 5, 4, 3, 2]","[0, 3, 2, 3, 0, 1, 1]"
"[0, 3, 2, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 4, 6, 3, 2, 3]","[0, 3, 2, 3, 0, 1, 1]"
"[0, 3, 2, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 5, 3, 5, 4, 4, 1]","[0, 3, 2, 3, 1, 1, 0]"
"[0, 2, 3, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 4, 6, 4, 3, 2, 2]","[0, 2, 3, 2, 0, 1, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 5, 2, 4, 2]","[0, 3, 0, 3, 0, 1, 1]"
"[0, 3, 2, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 5, 4, 4, 0]","[0, 3, 2, 3, 1, 1, 0]"
"[0, 3, 0, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 6, 2, 2, 3]","[0, 3, 0, 3, 1, 0, 1]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 3, 6, 2, 3, 2]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 4, 4, 4, 2, 2]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 2, 3, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 4, 4, 4, 3, 1]","[0, 2, 3, 2, 0, 1, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 4, 5, 2, 3, 2]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 2, 3, 2, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 5, 4, 5, 3, 3, 1]","[0, 2, 3, 2, 1, 0, 0]"
"[0, 3, 1, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 6, 3, 6, 1, 2, 3]","[0, 3, 1, 3, 0, 1, 0]"
"[0, 3, 1, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 4, 5, 3, 2, 2]","[1, 3, 0, 3, 0, 0, 1]"
"[1, 3, 2, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 4, 5, 4, 3, 0]","[1, 3, 2, 3, 0, 1, 0]"
"[1, 3, 2, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[1, 2, 3, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 4, 6, 4, 3, 1, 2]","[1, 2, 3, 2, 0, 0, 0]"
"[1, 3, 0, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 5, 3, 5, 2, 4, 1]","[1, 3, 0, 3, 0, 1, 0]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 5, 3, 6, 1, 2, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[1, 3, 0, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 5, 3, 6, 1, 3, 2]","[1, 3, 0, 3, 0, 1, 0]"
"[1, 3, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 5, 4, 4, 4, 2, 1]","[1, 3, 1, 3, 0, 0, 0]"
"[1, 3, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 5, 4, 5, 2, 3, 1]","[1, 3, 1, 3, 0, 0, 0]"
"[1, 3, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 6, 3, 6, 1, 1, 3]","[1, 3, 1, 3, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 3, 11, 2, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 5, 12, 1, 2, 4, 2]","[0, 2, 5, 0, 0, 2, 1]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 5, 12, 2, 2, 4, 1]","[0, 2, 5, 1, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 5, 12, 0, 2, 4, 2]","[0, 2, 5, 0, 0, 2, 1]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 5, 12, 2, 2, 4, 0]","[0, 2, 5, 1, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 1, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 4, 10, 3, 4, 3, 0]","[0, 2, 5, 0, 1, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 4, 10, 4, 3, 3, 0]","[0, 2, 5, 1, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 4, 12, 3, 2, 3, 0]","[1, 2, 5, 0, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 1, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 10, 0, 4, 4, 1]","[0, 2, 5, 0, 1, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 1, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 10, 1, 4, 4, 0]","[0, 2, 5, 0, 1, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 10, 3, 0, 5, 1]","[0, 2, 5, 1, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 12, 0, 2, 4, 1]","[1, 2, 5, 0, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 12, 1, 2, 4, 0]","[1, 2, 5, 0, 0, 2, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[2, 10, 3, 6, 1, 1, 3]","[0, 3, 1, 3, 0, 0, 1]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[3, 5, 10, 2, 0, 5, 1]","[1, 2, 5, 0, 0, 2, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
