Source,Target,Type,ID,Label,timeset,Weight
"We have: 1 0, 6 1's, 5 2's, 1 3, 1 4, 2 5's, 2 6's, 1 7, 1 8.",We have: 2 2's.,Directed,1639,,,3
"We have: 1 0, 6 1's, 5 2's, 4 3's, 5 4's, 4 5's, 3 6's, 2 8's.","We have: 4 1's, 3 2's, 2 3's, 2 4's, 1 5, 1 6, 1 8.",Directed,1640,,,2
"We have: 1 0, 6 1's, 5 2's, 4 3's, 5 4's, 4 5's, 3 6's, 2 7's.","We have: 4 1's, 3 2's, 2 3's, 2 4's, 1 5, 1 6, 1 7.",Directed,1641,,,8
"We have: 1 0, 6 1's, 5 2's, 5 3's, 3 4's, 5 5's, 3 6's, 2 8's.","We have: 4 1's, 3 2's, 2 3's, 2 4's, 1 5, 1 6, 1 8.",Directed,1642,,,1
"We have: 1 0, 6 1's, 5 2's, 5 3's, 3 4's, 5 5's, 3 6's, 2 7's.","We have: 4 1's, 3 2's, 2 3's, 2 4's, 1 5, 1 6, 1 7.",Directed,1643,,,1
"We have: 1 0, 6 1's, 5 2's, 5 3's, 4 4's, 5 5's, 3 6's, 1 8.","We have: 3 1's, 4 2's, 3 3's, 2 4's, 1 5, 1 6.",Directed,1644,,,1
"We have: 1 0, 6 1's, 5 2's, 5 3's, 4 4's, 5 5's, 3 6's, 1 7.","We have: 3 1's, 4 2's, 3 3's, 2 4's, 1 5, 1 6.",Directed,1645,,,5
"We have: 1 0, 6 1's, 5 2's, 7 3's, 4 4's, 5 5's, 6 6's, 2 7's.","We have: 4 1's, 3 2's, 6 3's, 2 4's, 2 5's, 3 6's.",Directed,1646,,,3
"We have: 1 0, 6 1's, 5 2's, 7 3's, 5 4's, 5 5's, 5 6's, 2 7's.","We have: 4 1's, 3 2's, 6 3's, 4 4's, 3 6's.",Directed,1647,,,1
"We have: 1 0, 6 1's, 5 2's, 7 3's, 5 4's, 5 5's, 5 6's, 4 7's.","We have: 4 1's, 4 2's, 6 3's, 3 4's, 3 6's, 2 7's.",Directed,1648,,,2
"We have: 1 0, 6 1's, 5 2's, 7 3's, 6 4's, 4 5's, 3 6's, 2 7's.","We have: 4 1's, 3 2's, 5 3's, 4 4's, 2 5's.",Directed,1649,,,5
"We have: 1 0, 6 1's, 5 2's, 7 3's, 6 4's, 4 5's, 3 6's, 4 7's.","We have: 4 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 7's.",Directed,1650,,,1
"We have: 1 0, 6 1's, 5 2's, 8 3's, 3 4's, 5 5's, 6 6's, 2 8's.","We have: 4 1's, 3 2's, 6 3's, 2 4's, 2 5's, 3 6's.",Directed,1651,,,3
"We have: 1 0, 6 1's, 5 2's, 8 3's, 4 4's, 3 5's, 5 6's, 2 8's.","We have: 4 1's, 3 2's, 6 3's, 2 4's, 3 6's.",Directed,1652,,,2
"We have: 1 0, 6 1's, 5 2's, 8 3's, 5 4's, 3 5's, 4 6's, 2 8's.","We have: 4 1's, 3 2's, 6 3's, 3 4's, 2 6's.",Directed,1653,,,3
"We have: 1 0, 6 1's, 5 2's, 8 3's, 5 4's, 3 5's, 6 6's, 2 8's.","We have: 4 1's, 3 2's, 6 3's, 4 4's, 3 6's.",Directed,1654,,,3
"We have: 1 0, 6 1's, 5 2's, 8 3's, 5 4's, 3 5's, 6 6's, 4 8's.","We have: 4 1's, 4 2's, 6 3's, 3 4's, 3 6's, 2 8's.",Directed,1655,,,3
"We have: 1 0, 6 1's, 5 2's, 8 3's, 6 4's, 4 5's, 3 6's, 3 7's, 2 8's.","We have: 4 1's, 3 2's, 5 3's, 4 4's, 2 5's, 2 7's.",Directed,1656,,,2
"We have: 1 0, 6 1's, 5 2's, 8 3's, 6 4's, 4 5's, 3 6's, 3 7's, 4 8's.","We have: 4 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 7's, 2 8's.",Directed,1657,,,2
"We have: 1 0, 6 1's, 6 2's, 4 3's, 2 4's, 1 5, 3 6's, 1 7, 2 8's.","We have: 2 1's, 3 2's, 2 3's, 1 8.",Directed,1658,,,5
"We have: 1 0, 6 1's, 6 2's, 4 3's, 2 4's, 1 5, 3 6's, 2 7's, 1 8.","We have: 2 1's, 3 2's, 2 3's, 1 7.",Directed,1659,,,5
"We have: 1 0, 6 1's, 6 2's, 4 3's, 2 4's, 2 5's, 3 6's, 1 7, 1 8.","We have: 2 1's, 3 2's, 2 3's, 1 5.",Directed,1660,,,4
"We have: 1 0, 6 1's, 6 2's, 4 3's, 3 4's, 3 5's, 3 6's, 1 7, 1 8.","We have: 2 1's, 5 2's, 1 4, 2 5's.",Directed,1661,,,3
"We have: 1 0, 6 1's, 6 2's, 5 3's, 1 4, 2 5's, 3 6's, 2 7's, 2 8's.","We have: 3 1's, 2 2's, 3 3's, 1 7, 1 8.",Directed,1662,,,2
"We have: 1 0, 6 1's, 6 2's, 5 3's, 2 4's, 2 5's, 3 6's, 1 7, 2 8's.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 8.",Directed,1663,,,3
"We have: 1 0, 6 1's, 6 2's, 5 3's, 2 4's, 2 5's, 3 6's, 2 7's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 7.",Directed,1664,,,1
