Input,Output,SUM
"[131, 331, 210, 134, 142]","[124, 314, 202, 124, 134]",5
"[132, 303, 212, 143, 144]","[130, 243, 203, 133, 140]",2
"[132, 304, 220, 143, 203]","[123, 301, 210, 133, 200]",1
"[132, 310, 211, 143, 143]","[130, 243, 203, 133, 140]",1
"[132, 310, 212, 141, 144]","[130, 243, 203, 133, 140]",1
"[132, 312, 201, 133, 130]","[124, 301, 142, 122, 124]",9
"[132, 332, 144, 144, 141]","[131, 321, 141, 140, 130]",3
"[133, 303, 222, 142, 202]","[130, 300, 210, 132, 200]",1
"[133, 304, 213, 143, 204]","[130, 300, 210, 132, 200]",1
"[133, 310, 214, 142, 203]","[130, 300, 210, 132, 200]",1
"[133, 311, 220, 141, 202]","[130, 300, 210, 132, 200]",2
"[133, 314, 140, 140, 131]","[130, 302, 134, 130, 122]",2
"[133, 331, 144, 202, 133]","[131, 321, 141, 140, 130]",1
"[134, 303, 220, 142, 203]","[130, 300, 210, 132, 200]",1
"[134, 320, 222, 144, 204]","[131, 312, 211, 141, 144]",1
"[134, 322, 210, 143, 134]","[132, 312, 201, 133, 130]",6
"[134, 330, 143, 203, 133]","[131, 321, 141, 140, 130]",2
"[134, 330, 203, 142, 134]","[131, 321, 200, 131, 130]",2
"[134, 340, 214, 143, 202]","[131, 331, 210, 134, 142]",1
"[134, 341, 220, 142, 201]","[131, 331, 210, 134, 142]",3
"[14, 102, 102, 31, 41]","[11, 41, 44, 24, 33]",1
"[14, 32, 34, 32, 23]","[13, 30, 30, 22, 20]",1
"[14, 33, 23, 23, 14]","[13, 30, 20, 13, 11]",1
"[14, 33, 30, 14, 21]","[12, 24, 23, 10, 13]",1
"[14, 34, 30, 22, 14]","[12, 31, 22, 14, 10]",2
"[14, 40, 40, 23, 22]","[11, 33, 31, 21, 13]",6
"[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]",88
"[14, 44, 100, 33, 43]","[11, 41, 44, 24, 33]",33
"[140, 310, 213, 140, 204]","[130, 300, 210, 132, 200]",3
"[140, 320, 222, 144, 203]","[131, 312, 211, 141, 144]",1
"[140, 322, 210, 143, 133]","[132, 312, 201, 133, 130]",2
"[140, 330, 201, 142, 140]","[130, 320, 143, 134, 131]",2
"[140, 330, 203, 142, 133]","[131, 321, 200, 131, 130]",4
"[140, 331, 143, 200, 134]","[131, 321, 141, 140, 130]",1
"[141, 312, 224, 200, 202]","[132, 303, 212, 143, 144]",1
"[141, 321, 223, 144, 213]","[140, 310, 213, 140, 204]",1
"[141, 321, 224, 142, 214]","[140, 310, 213, 140, 204]",1
"[141, 332, 214, 203, 143]","[134, 322, 210, 143, 134]",3
"[141, 332, 222, 201, 142]","[134, 322, 210, 143, 134]",1
"[142, 332, 222, 201, 141]","[140, 322, 210, 143, 133]",1
"[142, 334, 204, 203, 200]","[132, 332, 144, 144, 141]",1
"[142, 340, 203, 211, 142]","[134, 330, 143, 203, 133]",1
"[142, 341, 204, 201, 200]","[132, 332, 144, 144, 141]",1
"[143, 322, 200, 200, 133]","[133, 314, 140, 140, 131]",1
"[143, 330, 220, 203, 142]","[134, 322, 210, 143, 134]",1
"[143, 340, 211, 200, 144]","[134, 330, 203, 142, 134]",1
"[144, 340, 211, 200, 143]","[140, 330, 203, 142, 133]",2
"[144, 341, 224, 210, 204]","[141, 332, 214, 203, 143]",1
"[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]",9
"[2, 11, 10, 4, 3]","[0, 2, 3, 2, 1]",1
"[2, 12, 21, 1, 10]","[0, 2, 12, 0, 4]",1
"[2, 13, 3, 11, 1]","[1, 3, 1, 3, 0]",3
"[2, 13, 3, 4, 3]","[1, 11, 1, 0, 1]",2
"[2, 13, 4, 2, 4]","[1, 11, 1, 0, 1]",1
"[2, 2, 10, 0, 0]","[0, 0, 2, 0, 0]",3
"[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]",49
"[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]",94
"[2, 31, 31, 12, 13]","[1, 21, 23, 3, 12]",3
"[20, 32, 41, 30, 20]","[11, 30, 32, 22, 13]",5
"[20, 33, 24, 21, 14]","[13, 30, 20, 13, 11]",12
"[20, 34, 30, 20, 13]","[11, 32, 22, 11, 11]",2
"[20, 34, 41, 22, 24]","[13, 32, 31, 20, 20]",72
"[20, 40, 31, 21, 12]","[12, 31, 22, 14, 10]",2
"[20, 40, 40, 23, 21]","[11, 33, 31, 21, 13]",3
"[20, 43, 44, 32, 30]","[12, 42, 41, 23, 21]",4
"[200, 313, 230, 200, 204]","[133, 311, 220, 141, 202]",1
"[200, 333, 213, 202, 140]","[140, 330, 203, 142, 133]",1
"[200, 334, 210, 201, 143]","[140, 330, 201, 142, 140]",1
"[200, 342, 232, 200, 204]","[134, 341, 220, 142, 201]",1
"[200, 343, 230, 201, 204]","[134, 341, 220, 142, 201]",1
"[202, 340, 230, 211, 200]","[141, 332, 214, 203, 143]",1
"[203, 342, 223, 204, 201]","[144, 340, 211, 200, 143]",1
"[21, 100, 33, 33, 13]","[13, 41, 31, 22, 12]",11
"[21, 101, 42, 31, 22]","[14, 41, 32, 24, 20]",71
"[21, 102, 101, 30, 22]","[12, 42, 41, 23, 21]",2
"[21, 32, 40, 30, 22]","[13, 30, 30, 22, 20]",11
"[21, 40, 40, 21, 24]","[13, 32, 31, 20, 20]",1
"[21, 42, 43, 33, 30]","[14, 40, 40, 23, 22]",5
"[21, 42, 44, 31, 33]","[20, 34, 41, 22, 24]",52
"[21, 43, 40, 33, 24]","[14, 41, 32, 24, 20]",16
"[21, 44, 41, 22, 21]","[20, 40, 31, 21, 12]",1
"[22, 100, 102, 30, 22]","[12, 42, 41, 23, 21]",1
"[22, 100, 40, 34, 21]","[13, 42, 31, 32, 13]",1
"[22, 112, 112, 33, 24]","[21, 102, 101, 30, 22]",1
"[22, 34, 34, 30, 22]","[20, 33, 24, 21, 14]",1
"[22, 40, 40, 24, 23]","[14, 34, 30, 22, 14]",1
"[22, 40, 41, 22, 22]","[20, 33, 24, 21, 14]",1
"[22, 41, 101, 33, 22]","[20, 32, 41, 30, 20]",4
"[22, 41, 33, 30, 21]","[20, 33, 24, 21, 14]",9
"[22, 41, 44, 30, 34]","[20, 34, 41, 22, 24]",1
"[22, 42, 44, 31, 30]","[20, 40, 40, 23, 21]",1
"[23, 101, 43, 43, 32]","[21, 43, 40, 33, 24]",2
"[23, 102, 103, 41, 32]","[20, 43, 44, 32, 30]",3
"[23, 104, 104, 40, 101]","[13, 44, 102, 33, 42]",6
"[23, 111, 41, 40, 21]","[21, 100, 33, 33, 13]",9
"[23, 40, 44, 24, 40]","[20, 34, 41, 22, 24]",18
"[23, 41, 33, 30, 20]","[20, 34, 30, 20, 13]",1
"[23, 42, 100, 32, 23]","[20, 40, 40, 23, 21]",1
"[23, 44, 102, 34, 44]","[21, 42, 44, 31, 33]",25
"[24, 100, 43, 42, 33]","[21, 43, 40, 33, 24]",2
"[24, 102, 101, 41, 33]","[21, 42, 43, 33, 30]",1
"[24, 102, 43, 40, 22]","[21, 100, 33, 33, 13]",1
"[24, 114, 44, 43, 32]","[23, 111, 41, 40, 21]",6
"[24, 43, 40, 34, 31]","[22, 41, 33, 30, 21]",8
"[3, 10, 20, 12, 3]","[0, 2, 12, 4, 2]",5
"[3, 10, 4, 10, 3]","[0, 2, 3, 2, 1]",1
"[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]",19
"[3, 11, 12, 3, 0]","[2, 2, 10, 0, 0]",1
"[3, 11, 20, 2, 10]","[0, 2, 12, 0, 4]",1
"[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]",32
"[3, 12, 20, 4, 11]","[1, 3, 12, 2, 4]",4
"[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]",92
"[3, 14, 13, 4, 12]","[2, 10, 11, 1, 4]",4
"[3, 14, 3, 10, 3]","[1, 11, 2, 1, 1]",1
"[3, 22, 11, 14, 3]","[2, 13, 3, 11, 1]",2
"[3, 24, 32, 13, 21]","[2, 21, 23, 4, 14]",44
"[3, 34, 34, 21, 21]","[2, 31, 31, 12, 13]",1
"[3, 4, 4, 10, 3]","[1, 2, 3, 2, 0]",1
"[30, 100, 43, 42, 32]","[21, 43, 40, 33, 24]",3
"[30, 102, 101, 34, 41]","[21, 42, 44, 31, 33]",1
"[30, 102, 101, 41, 32]","[21, 42, 43, 33, 30]",2
"[30, 104, 102, 40, 101]","[14, 44, 100, 33, 43]",23
"[30, 104, 43, 40, 31]","[21, 101, 42, 31, 22]",70
"[30, 111, 101, 40, 100]","[14, 44, 100, 33, 43]",9
"[30, 33, 42, 40, 30]","[21, 32, 40, 30, 22]",10
"[30, 44, 100, 34, 44]","[21, 42, 44, 31, 33]",25
"[30, 44, 103, 42, 31]","[22, 41, 101, 33, 22]",3
"[30, 44, 42, 40, 40]","[21, 43, 40, 33, 24]",8
"[31, 100, 44, 40, 40]","[21, 42, 43, 33, 30]",1
"[31, 101, 101, 33, 42]","[23, 40, 44, 24, 40]",17
"[31, 104, 41, 41, 41]","[24, 43, 40, 34, 31]",1
"[31, 112, 102, 102, 33]","[23, 101, 43, 43, 32]",1
"[31, 120, 112, 43, 104]","[23, 104, 104, 40, 101]",5
