"[2, 12, 3, 11, 7, 7, 5, 3]","[1, 6, 0, 6, 6, 5, 4, 0]","[0, 4, 0, 5, 4, 3, 0, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[3, 6, 7, 6, 7, 6, 7, 4]","[2, 5, 6, 4, 5, 5, 3, 0]","[1, 4, 4, 2, 3, 1, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 6, 7, 7, 6, 4, 7, 6]","[2, 5, 6, 5, 4, 3, 3, 2]","[1, 4, 3, 2, 2, 0, 1, 1]"
"[3, 7, 10, 10, 4, 6, 5, 5]","[0, 4, 7, 6, 2, 3, 3, 3]","[0, 3, 5, 2, 0, 2, 1, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 7, 10, 10, 5, 6, 4, 5]","[0, 4, 7, 6, 3, 3, 2, 3]","[0, 3, 5, 2, 1, 2, 0, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 7, 10, 10, 5, 6, 5, 4]","[0, 4, 7, 6, 3, 3, 3, 2]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 7, 10, 10, 6, 4, 6, 4]","[0, 4, 7, 6, 3, 3, 3, 2]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 7, 12, 6, 6, 6, 4, 4]","[2, 5, 10, 4, 3, 5, 0, 2]","[0, 3, 5, 2, 1, 2, 0, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 7, 12, 7, 5, 7, 3, 4]","[2, 5, 10, 4, 3, 5, 2, 0]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 10, 13, 5, 10, 3, 3, 5]","[0, 4, 12, 0, 7, 0, 2, 4]","[0, 2, 7, 0, 4, 0, 1, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 11, 10, 6, 5, 7, 6, 2]","[1, 5, 6, 4, 4, 5, 3, 0]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
