"[5, 21, 12, 14, 14, 6, 11, 4]","[4, 12, 7, 13, 10, 4, 7, 3]","[2, 6, 5, 10, 5, 3, 6, 0]","[0, 4, 3, 6, 4, 0, 3, 0]","[0, 3, 2, 3, 1, 0, 1, 0]"
"[5, 21, 13, 12, 11, 12, 7, 6]","[4, 12, 7, 10, 10, 10, 5, 4]","[0, 5, 5, 7, 5, 6, 4, 2]","[0, 4, 3, 6, 3, 2, 2, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[5, 22, 12, 13, 13, 4, 11, 7]","[4, 14, 6, 10, 11, 2, 10, 5]","[1, 6, 4, 7, 6, 0, 6, 4]","[0, 4, 3, 6, 3, 0, 2, 2]","[0, 3, 0, 3, 1, 0, 0, 1]"
"[5, 22, 12, 13, 13, 12, 4, 6]","[4, 15, 5, 10, 11, 10, 2, 5]","[1, 7, 3, 7, 7, 4, 1, 4]","[0, 4, 2, 5, 4, 3, 0, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[5, 22, 12, 15, 11, 13, 5, 4]","[4, 14, 6, 13, 7, 7, 4, 3]","[3, 11, 5, 10, 3, 6, 2, 0]","[1, 5, 3, 5, 2, 4, 0, 0]","[0, 3, 1, 3, 0, 1, 0, 0]"
"[5, 22, 13, 12, 12, 5, 11, 7]","[4, 14, 6, 10, 11, 2, 10, 5]","[1, 6, 4, 7, 6, 0, 6, 4]","[0, 4, 3, 6, 3, 0, 2, 2]","[0, 3, 0, 3, 1, 0, 0, 1]"
"[5, 22, 14, 12, 6, 7, 12, 7]","[4, 16, 7, 11, 4, 5, 10, 4]","[2, 11, 6, 10, 0, 3, 6, 2]","[0, 5, 3, 6, 0, 2, 3, 1]","[0, 3, 1, 3, 0, 0, 1, 0]"
"[5, 23, 6, 17, 6, 13, 10, 5]","[3, 17, 4, 14, 5, 10, 5, 3]","[1, 13, 3, 11, 2, 5, 4, 1]","[0, 5, 1, 6, 0, 3, 3, 0]","[0, 3, 0, 3, 0, 1, 1, 0]"
"[5, 23, 11, 12, 14, 4, 11, 7]","[4, 14, 6, 10, 11, 2, 10, 5]","[1, 6, 4, 7, 6, 0, 6, 4]","[0, 4, 3, 6, 3, 0, 2, 2]","[0, 3, 0, 3, 1, 0, 0, 1]"
"[5, 23, 11, 12, 14, 12, 4, 6]","[4, 15, 5, 10, 11, 10, 2, 5]","[1, 7, 3, 7, 7, 4, 1, 4]","[0, 4, 2, 5, 4, 3, 0, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
