Input,Output
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[1, 5, 12, 3, 2, 4]","[0, 2, 5, 1, 0, 2]"
"[0, 3, 2, 3, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[2, 5, 4, 10, 3, 3]","[0, 3, 2, 3, 1, 1]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 4, 10, 4, 3, 3]","[1, 2, 5, 0, 0, 2]"
"[1, 3, 2, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 4, 10, 2, 3]","[1, 3, 2, 3, 0, 1]"
"[1, 3, 2, 3, 1, 0]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 4, 10, 3, 2]","[1, 3, 2, 3, 1, 0]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 5, 10, 3, 1, 5]","[1, 2, 5, 0, 0, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[1, 11, 12, 3, 2, 3]","[0, 2, 5, 0, 1, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[2, 11, 12, 3, 1, 3]","[1, 2, 5, 0, 0, 2]"
"[1, 11, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[2, 13, 3, 4, 4, 2]","[1, 11, 0, 1, 1, 1]"
"[1, 11, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[2, 13, 3, 5, 2, 3]","[1, 11, 0, 1, 1, 1]"
"[1, 11, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[2, 13, 4, 3, 4, 2]","[1, 11, 1, 0, 1, 1]"
"[1, 11, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[2, 13, 4, 4, 3, 2]","[1, 11, 1, 1, 0, 1]"
"[0, 3, 2, 3, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 10, 4, 10, 3, 2]","[0, 3, 2, 3, 1, 1]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 12, 2, 3, 0]","[0, 0, 4, 0, 2, 0]"
"[0, 4, 13, 5, 5, 3]","[0, 2, 12, 2, 3, 0]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]"
"[2, 3, 12, 10, 5, 2]","[0, 0, 4, 4, 4, 0]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]"
"[2, 4, 11, 5, 10, 2]","[0, 0, 4, 4, 4, 0]"
"[1, 11, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[2, 13, 4, 5, 3, 3]","[1, 11, 2, 1, 1, 1]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 5, 2, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[2, 5, 12, 4, 3, 5]","[1, 3, 5, 2, 1, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 4, 3, 2, 1]","[0, 0, 2, 0, 0, 0]"
"[3, 5, 5, 10, 3, 5]","[1, 3, 4, 3, 2, 1]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 5, 2, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 5, 10, 4, 4, 5]","[1, 3, 5, 2, 1, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 12, 2, 3, 0]","[0, 0, 4, 0, 2, 0]"
"[2, 3, 20, 4, 5, 2]","[0, 2, 12, 2, 3, 0]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 5, 2, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[2, 11, 12, 4, 4, 3]","[1, 3, 5, 2, 1, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 4, 3, 2, 1]","[0, 0, 2, 0, 0, 0]"
"[3, 11, 5, 10, 4, 3]","[1, 3, 4, 3, 2, 1]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 5, 2, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 11, 10, 5, 3, 4]","[1, 3, 5, 2, 1, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]"
"[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[1, 3, 4, 3, 2, 1]","[0, 0, 2, 0, 0, 0]"
"[3, 12, 11, 10, 3, 2]","[1, 3, 4, 3, 2, 1]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[5, 15, 0, 11, 1, 10]","[3, 5, 0, 10, 0, 3]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[5, 15, 1, 11, 0, 10]","[3, 5, 0, 10, 0, 3]"
"[0, 2, 3, 2, 1, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 3, 5, 5, 2, 3]","[0, 2, 3, 2, 1, 0]"
