Input,Output,SUM
"[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]",95
"[1121, 2201, 1320, 1211]","[1112, 2120, 1302, 1203]",6
"[1121, 2213, 1330, 1233]","[1113, 2200, 1313, 1221]",2
"[1121, 2220, 1331, 1231]","[1113, 2200, 1313, 1221]",5
"[1121, 2221, 1313, 1200]","[1112, 2201, 1301, 1131]",10
"[1121, 2221, 1333, 1230]","[1113, 2202, 1321, 1213]",1
"[1121, 2222, 1311, 1201]","[1113, 2201, 1232, 1133]",721
"[1122, 2033, 1203, 1200]","[1111, 2022, 1131, 1130]",1
"[1122, 2100, 1210, 1132]","[1112, 2020, 1132, 1130]",1
"[1122, 2131, 1231, 1201]","[1120, 2110, 1213, 1132]",2
"[1122, 2211, 1312, 1210]","[1120, 2130, 1233, 1202]",447
"[1122, 2212, 2001, 1222]","[1113, 2200, 1313, 1221]",2
"[1122, 2213, 1320, 1200]","[1112, 2201, 1301, 1131]",2
"[1122, 2213, 1333, 1223]","[1121, 2201, 1320, 1211]",5
"[1122, 2220, 1312, 1201]","[1113, 2201, 1232, 1133]",33
"[1122, 2220, 2000, 1221]","[1111, 2203, 1313, 1220]",3
"[1122, 2233, 2003, 1303]","[1112, 2223, 1331, 1231]",17
"[1122, 2301, 1333, 1311]","[1120, 2221, 1323, 1233]",2
"[1123, 2101, 1231, 1120]","[1120, 2020, 1220, 1111]",110
"[1123, 2203, 1310, 1213]","[1120, 2130, 1233, 1202]",2
"[1123, 2212, 1301, 1213]","[1121, 2132, 1223, 1203]",2
"[1123, 2212, 1332, 1230]","[1121, 2200, 1313, 1213]",1
"[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]",93
"[1123, 2213, 2000, 1223]","[1113, 2202, 1321, 1213]",1
"[1123, 2220, 2000, 1220]","[1111, 2210, 1320, 1212]",5
"[1123, 2220, 2001, 1221]","[1113, 2202, 1321, 1213]",22
"[1123, 2223, 1332, 1221]","[1122, 2211, 1312, 1210]",446
"[1123, 2232, 1332, 1212]","[1122, 2220, 1312, 1201]",32
"[1123, 2233, 1330, 1213]","[1121, 2221, 1313, 1200]",1
"[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]",40
"[1123, 2301, 1323, 1212]","[1121, 2222, 1311, 1201]",720
"[1123, 2301, 2002, 1301]","[1112, 2223, 1331, 1231]",13
"[113, 232, 200, 202]","[103, 223, 122, 133]",2
"[113, 232, 222, 130]","[111, 222, 210, 120]",30
"[113, 233, 220, 131]","[111, 222, 210, 120]",1982
"[1130, 2100, 1230, 1121]","[1113, 2020, 1220, 1112]",1
"[1130, 2203, 1310, 1212]","[1120, 2130, 1233, 1202]",41
"[1130, 2212, 1301, 1212]","[1121, 2132, 1223, 1203]",115
"[1130, 2213, 2000, 1222]","[1113, 2202, 1321, 1213]",4
"[1130, 2230, 1330, 1221]","[1120, 2212, 1313, 1210]",5
"[1130, 2232, 1332, 1211]","[1122, 2213, 1320, 1200]",1
"[1130, 2233, 1330, 1212]","[1121, 2221, 1313, 1200]",3
"[1130, 2300, 1332, 1311]","[1120, 2221, 1323, 1233]",12
"[1130, 2301, 1323, 1211]","[1121, 2221, 1313, 1200]",5
"[1131, 2100, 1230, 1120]","[1120, 2020, 1220, 1111]",41
"[1131, 2200, 1322, 1202]","[1121, 2122, 1303, 1133]",1
"[1131, 2201, 1320, 1203]","[1121, 2122, 1303, 1133]",1
"[1131, 2223, 2020, 1233]","[1122, 2212, 2001, 1222]",1
"[1131, 2232, 2013, 1233]","[1123, 2220, 2001, 1221]",2
"[1131, 2233, 2012, 1231]","[1123, 2220, 2000, 1220]",3
"[1131, 2300, 2001, 1301]","[1113, 2221, 1332, 1231]",1
"[1131, 2312, 2022, 1312]","[1123, 2233, 2003, 1302]",4
"[1131, 2320, 1333, 1231]","[1123, 2301, 1323, 1212]",5
"[1131, 2321, 2010, 1321]","[1122, 2301, 1333, 1311]",1
"[1131, 2321, 2013, 1312]","[1123, 2301, 2002, 1301]",2
"[1132, 2121, 1302, 1130]","[1123, 2101, 1231, 1120]",109
"[1132, 2220, 1323, 1230]","[1123, 2203, 1310, 1213]",1
"[1132, 2221, 1330, 1222]","[1130, 2203, 1310, 1212]",40
"[1132, 2223, 1320, 1230]","[1123, 2212, 1301, 1213]",1
"[1132, 2223, 2022, 1232]","[1130, 2213, 2000, 1222]",2
"[1132, 2230, 1321, 1222]","[1130, 2212, 1301, 1212]",68
"[1132, 2230, 2003, 1302]","[1121, 2220, 1331, 1231]",4
"[1132, 2300, 2001, 1300]","[1113, 2223, 1331, 1230]",14
"[1132, 2303, 2012, 1222]","[1123, 2232, 1332, 1212]",29
"[1132, 2303, 2022, 1320]","[1122, 2233, 2003, 1303]",1
"[1132, 2312, 2003, 1222]","[1123, 2301, 1323, 1212]",569
"[1132, 2313, 2001, 1223]","[1123, 2301, 1323, 1212]",76
"[1132, 2313, 2020, 1312]","[1123, 2301, 2002, 1301]",10
"[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]",89
"[1133, 2230, 1312, 1230]","[1130, 2212, 1301, 1212]",46
"[1133, 2230, 2000, 1310]","[1121, 2213, 1330, 1233]",1
"[1133, 2230, 2003, 1301]","[1122, 2213, 1333, 1223]",4
"[1133, 2230, 2020, 1232]","[1123, 2220, 2001, 1221]",7
"[1133, 2231, 2001, 1302]","[1123, 2213, 1330, 1231]",2
"[1133, 2302, 1333, 1301]","[1130, 2230, 1330, 1221]",4
"[1133, 2310, 2010, 1222]","[1123, 2232, 1332, 1212]",1
"[1133, 2310, 2020, 1320]","[1122, 2233, 2003, 1303]",11
"[1133, 2311, 2002, 1223]","[1130, 2233, 1330, 1212]",1
"[1133, 2312, 2010, 1322]","[1130, 2300, 1332, 1311]",1
"[1133, 2313, 2001, 1222]","[1130, 2301, 1323, 1211]",3
"[1133, 2322, 2033, 1333]","[1131, 2312, 2022, 1312]",2
"[12, 111, 22, 12]","[11, 33, 11, 11]",1
"[12, 31, 21, 10]","[10, 20, 12, 2]",15
"[12, 31, 23, 11]","[11, 20, 20, 2]",2063
"[120, 230, 213, 130]","[110, 220, 203, 120]",45
"[120, 232, 200, 201]","[103, 223, 122, 133]",3
"[120, 233, 200, 132]","[110, 230, 123, 122]",3
"[120, 300, 132, 133]","[110, 230, 123, 122]",12
"[120, 302, 211, 130]","[110, 231, 201, 121]",1
"[1200, 2202, 1303, 1210]","[1122, 2131, 1231, 1201]",1
"[1200, 2223, 2013, 1233]","[1130, 2213, 2000, 1222]",1
"[1200, 2223, 2020, 1230]","[1122, 2220, 2000, 1221]",2
"[1200, 2223, 2022, 1230]","[1123, 2220, 2001, 1221]",7
"[1200, 2230, 2000, 1303]","[1120, 2221, 1323, 1233]",6
"[1200, 2230, 2003, 1300]","[1120, 2221, 1332, 1230]",3
"[1200, 2230, 2021, 1222]","[1123, 2220, 2000, 1220]",1
"[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]",35
"[1200, 2310, 2020, 1313]","[1122, 2233, 2003, 1303]",4
"[1200, 2313, 2001, 1221]","[1123, 2301, 1323, 1212]",69
"[1201, 2120, 1301, 1123]","[1131, 2100, 1230, 1120]",39
"[1201, 2230, 2020, 1230]","[1123, 2220, 2001, 1221]",5
"[1201, 2231, 2001, 1300]","[1123, 2213, 1330, 1231]",1
"[1201, 2300, 2003, 1231]","[1123, 2223, 1332, 1221]",445
"[1201, 2303, 2003, 1222]","[1130, 2233, 1330, 1212]",1
"[1201, 2310, 2010, 1220]","[1123, 2232, 1332, 1212]",1
"[1201, 2312, 2010, 1320]","[1130, 2300, 1332, 1311]",10
"[1201, 2313, 2001, 1220]","[1130, 2301, 1323, 1211]",1
"[1201, 2321, 2031, 1232]","[1132, 2303, 2012, 1222]",2
"[1201, 2322, 2023, 1233]","[1132, 2312, 2003, 1222]",568
"[1201, 2323, 2100, 1323]","[1131, 2312, 2022, 1312]",1
"[1202, 2113, 1300, 1130]","[1131, 2100, 1230, 1120]",1
"[1202, 2231, 2003, 1233]","[1132, 2221, 1330, 1222]",38
"[1202, 2232, 2010, 1231]","[1132, 2221, 1330, 1222]",1
"[1202, 2233, 2002, 1232]","[1132, 2230, 1321, 1222]",67
"[1202, 2233, 2102, 1302]","[1132, 2223, 2022, 1232]",1
"[1202, 2312, 2013, 1310]","[1132, 2300, 2001, 1300]",13
"[1202, 2322, 2023, 1232]","[1133, 2313, 2001, 1222]",1
"[1202, 2322, 2033, 1330]","[1132, 2313, 2020, 1312]",5
"[1202, 2323, 2021, 1233]","[1133, 2313, 2001, 1222]",1
"[1202, 2323, 2100, 1322]","[1132, 2313, 2020, 1312]",4
"[1202, 2331, 2030, 1330]","[1131, 2321, 2013, 1312]",1
"[1203, 2132, 1320, 1200]","[1132, 2121, 1302, 1130]",108
"[1203, 2233, 2021, 1320]","[1133, 2223, 2002, 1303]",5
"[1203, 2300, 2022, 1312]","[1132, 2230, 2003, 1302]",2
"[1203, 2301, 1323, 1302]","[1133, 2230, 1312, 1230]",45
"[1203, 2301, 2020, 1313]","[1132, 2230, 2003, 1302]",1
"[1203, 2302, 2021, 1311]","[1133, 2230, 2003, 1301]",1
"[1203, 2302, 2030, 1302]","[1131, 2233, 2012, 1231]",2
"[1203, 2302, 2030, 1310]","[1131, 2232, 2013, 1233]",1
"[1203, 2310, 2011, 1313]","[1133, 2231, 2001, 1302]",1
"[1203, 2313, 2023, 1300]","[1132, 2303, 2012, 1222]",26
"[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]",31
"[1203, 2320, 2031, 1333]","[1133, 2310, 2020, 1320]",10
"[1203, 2321, 2010, 1311]","[1133, 2302, 1333, 1301]",2
"[1203, 2321, 2032, 1331]","[1200, 2310, 2020, 1313]",2
"[1203, 2321, 2101, 1322]","[1200, 2303, 2022, 1312]",3
"[1203, 2323, 2021, 1232]","[1200, 2313, 2001, 1221]",33
"[1203, 2330, 2010, 1302]","[1131, 2320, 1333, 1231]",4
"[1203, 2331, 2011, 1300]","[1132, 2313, 2001, 1223]",75
"[121, 233, 233, 200]","[112, 230, 222, 123]",3
"[121, 302, 233, 201]","[112, 232, 222, 131]",26
"[1210, 2201, 1311, 1133]","[1201, 2120, 1301, 1123]",38
"[1210, 2233, 2033, 1303]","[1200, 2223, 2022, 1230]",6
"[1210, 2301, 2020, 1312]","[1133, 2223, 2002, 1303]",83
"[1210, 2301, 2032, 1302]","[1133, 2230, 2020, 1232]",6
"[1210, 2302, 2012, 1313]","[1200, 2230, 2000, 1303]",1
"[1210, 2302, 2021, 1310]","[1133, 2230, 2003, 1301]",2
"[1210, 2303, 2013, 1311]","[1200, 2230, 2003, 1300]",2
"[1210, 2310, 2011, 1312]","[1200, 2230, 2000, 1303]",4
"[1210, 2321, 2010, 1310]","[1133, 2302, 1333, 1301]",1
"[1210, 2321, 2032, 1330]","[1200, 2310, 2020, 1313]",1
"[1210, 2330, 2013, 1232]","[1200, 2313, 2001, 1221]",35
"[1210, 2331, 2021, 1331]","[1201, 2312, 2010, 1320]",9
"[1210, 2333, 2033, 1313]","[1201, 2322, 2023, 1233]",567
"[1211, 2213, 1331, 1210]","[1203, 2132, 1320, 1200]",107
"[1211, 2311, 2021, 1302]","[1202, 2231, 2003, 1233]",1
"[1211, 2312, 2013, 1303]","[1202, 2233, 2002, 1232]",3
