Input,Output,SUM
"[13, 42, 24, 21, 20, 15]","[11, 34, 15, 15, 13, 13]",1
"[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]",7
"[13, 42, 35, 25, 14, 22]","[12, 35, 30, 22, 11, 15]",1
"[13, 42, 41, 25, 24, 23]","[12, 35, 32, 22, 20, 21]",1
"[13, 43, 14, 20, 13, 12]","[11, 34, 11, 12, 10, 11]",7
"[13, 43, 21, 31, 13, 14]","[12, 33, 15, 22, 10, 13]",1
"[13, 43, 22, 24, 20, 15]","[11, 40, 13, 21, 13, 13]",3
"[13, 43, 25, 21, 21, 21]","[12, 34, 20, 14, 15, 15]",8
"[13, 43, 34, 30, 32, 14]","[11, 40, 32, 20, 24, 13]",1
"[13, 43, 35, 30, 25, 20]","[10, 41, 32, 21, 23, 13]",2
"[13, 44, 31, 32, 21, 14]","[12, 35, 24, 24, 13, 13]",2
"[13, 44, 31, 33, 25, 20]","[11, 41, 24, 24, 22, 14]",1
"[13, 44, 33, 30, 31, 15]","[11, 40, 32, 20, 24, 13]",3
"[13, 44, 42, 23, 24, 22]","[12, 42, 32, 20, 15, 21]",3
"[13, 44, 42, 33, 25, 23]","[12, 42, 34, 24, 21, 21]",1
"[13, 44, 50, 33, 32, 24]","[11, 42, 43, 24, 24, 22]",1
"[13, 45, 34, 25, 23, 24]","[12, 43, 30, 21, 15, 21]",1
"[13, 45, 35, 24, 22, 25]","[12, 43, 30, 21, 15, 21]",1
"[13, 45, 42, 15, 24, 21]","[12, 41, 34, 13, 20, 14]",2
"[13, 45, 42, 31, 25, 24]","[12, 42, 34, 24, 21, 21]",1
"[13, 50, 21, 23, 13, 21]","[11, 41, 13, 15, 12, 15]",1
"[13, 50, 22, 21, 14, 21]","[11, 41, 13, 15, 12, 15]",2
"[13, 51, 33, 25, 22, 21]","[12, 43, 24, 21, 21, 14]",3
"[13, 54, 31, 41, 25, 31]","[12, 45, 25, 33, 22, 24]",1
"[13, 54, 35, 35, 23, 32]","[12, 52, 32, 25, 21, 24]",1
"[13, 55, 32, 41, 23, 31]","[12, 51, 25, 32, 21, 24]",1
"[14, 24, 30, 23, 20, 10]","[10, 21, 22, 20, 13, 5]",2
"[14, 30, 25, 12, 12, 12]","[12, 21, 20, 10, 10, 10]",4
"[14, 31, 30, 21, 15, 11]","[12, 20, 24, 14, 13, 5]",1
"[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]",8
"[14, 32, 30, 23, 4, 20]","[11, 30, 22, 15, 1, 15]",1
"[14, 34, 20, 14, 15, 14]","[12, 25, 14, 12, 10, 12]",1
"[14, 34, 20, 15, 13, 15]","[12, 25, 14, 12, 10, 12]",6
"[14, 34, 21, 20, 13, 13]","[12, 25, 14, 12, 10, 12]",3
"[14, 34, 22, 33, 13, 14]","[13, 30, 15, 24, 5, 13]",1
"[14, 34, 23, 32, 12, 15]","[13, 30, 15, 24, 5, 13]",1
"[14, 34, 24, 30, 13, 15]","[12, 30, 22, 22, 5, 13]",1
"[14, 34, 25, 25, 12, 20]","[12, 31, 20, 23, 5, 13]",2
"[14, 34, 32, 23, 10, 14]","[12, 30, 25, 15, 2, 13]",2
"[14, 35, 25, 21, 12, 20]","[12, 31, 20, 15, 10, 13]",1
"[14, 35, 32, 21, 10, 15]","[12, 30, 25, 14, 4, 12]",1
"[14, 40, 20, 11, 15, 14]","[11, 30, 14, 10, 11, 12]",2
"[14, 40, 22, 22, 14, 15]","[12, 32, 13, 21, 10, 13]",7
"[14, 40, 23, 21, 14, 15]","[12, 31, 20, 15, 10, 13]",1
"[14, 40, 23, 23, 23, 20]","[11, 34, 14, 15, 20, 15]",7
"[14, 40, 23, 30, 13, 14]","[11, 32, 21, 22, 5, 13]",1
"[14, 40, 32, 21, 11, 13]","[12, 30, 25, 14, 4, 12]",1
"[14, 40, 32, 22, 22, 14]","[12, 33, 22, 20, 14, 13]",1
"[14, 40, 33, 25, 20, 22]","[11, 34, 24, 22, 13, 20]",3
"[14, 40, 43, 32, 32, 14]","[12, 33, 40, 24, 23, 13]",1
"[14, 41, 20, 23, 14, 15]","[12, 32, 13, 21, 10, 13]",2
"[14, 41, 20, 30, 20, 13]","[10, 33, 13, 23, 13, 12]",1
"[14, 41, 21, 31, 13, 14]","[13, 30, 15, 24, 5, 13]",1
"[14, 41, 23, 30, 20, 13]","[11, 33, 20, 22, 13, 12]",1
"[14, 41, 30, 23, 22, 14]","[12, 33, 22, 20, 14, 13]",1
"[14, 41, 31, 21, 10, 14]","[12, 30, 25, 15, 2, 13]",1
"[14, 41, 33, 23, 20, 22]","[12, 34, 24, 15, 13, 21]",7
"[14, 42, 33, 34, 23, 23]","[13, 40, 25, 24, 15, 22]",2
"[14, 42, 34, 32, 24, 23]","[13, 40, 25, 24, 15, 22]",1
