Source,Target,Type,ID,Label,timeset,weight
"We have: 1 0, 32 1's, 31 2's, 12 3's, 12 4's, 13 5's.","We have: 22 1's, 23 2's, 4 3's, 11 4's, 12 5's.",Directed,76,,,2
"We have: 1 0, 33 1's, 15 2's, 23 3's, 15 4's, 14 5's.","We have: 24 1's, 13 2's, 15 3's, 13 4's, 11 5's.",Directed,77,,,1
"We have: 1 0, 34 1's, 15 2's, 21 3's, 15 4's, 15 5's.","We have: 24 1's, 13 2's, 15 3's, 13 4's, 11 5's.",Directed,78,,,1
"We have: 1 0, 4 1's, 4 2's, 5 3's, 3 4's, 3 5's.","We have: 2 1's, 3 2's, 2 3's, 1 5.",Directed,79,,,1
"We have: 1 0, 5 1's, 5 3's, 3 4's, 4 5's.","We have: 3 1's, 3 3's, 1 4, 1 5.",Directed,80,,,13
"We have: 1 0, 5 1's, 12 2's, 2 4's, 5 5's.","We have: 2 1's, 5 2's, 1 4, 2 5's.",Directed,81,,,14
"We have: 1 0, 5 1's, 12 2's, 2 3's, 5 5's.","We have: 2 1's, 5 2's, 1 3, 2 5's.",Directed,82,,,1
"We have: 1 0, 5 1's, 12 2's, 2 3's, 3 4's, 4 5's.","We have: 2 1's, 5 2's, 1 4, 2 5's.",Directed,83,,,1
"We have: 1 0, 5 1's, 12 2's, 3 3's, 2 4's, 4 5's.","We have: 2 1's, 5 2's, 1 3, 2 5's.",Directed,84,,,2
"We have: 1 0, 5 1's, 2 2's, 5 3's, 3 4's, 4 5's.","We have: 3 1's, 3 3's, 1 4, 1 5.",Directed,85,,,18
"We have: 1 0, 5 1's, 3 2's, 5 3's, 2 4's, 4 5's.","We have: 3 1's, 1 2, 3 3's, 1 5.",Directed,86,,,55
"We have: 1 0, 5 1's, 3 2's, 5 3's, 4 4's, 4 5's.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",Directed,87,,,38
"We have: 10 0's, 12 1's, 20 2's, 12 3's, 10 4's, 3 5's.","We have: 2 0's, 3 1's, 12 2's, 10 3's, 5 4's, 2 5's.",Directed,88,,,3
"We have: 10 0's, 13 1's, 20 2's, 2 3's, 2 4's, 10 5's.","We have: 2 0's, 5 1's, 12 2's, 1 4, 5 5's.",Directed,89,,,1
"We have: 10 0's, 14 1's, 10 2's, 12 3's, 2 4's, 3 5's.","We have: 3 0's, 5 1's, 3 2's, 10 3's, 2 5's.",Directed,90,,,1
"We have: 10 0's, 14 1's, 11 2's, 5 3's, 5 4's, 10 5's.","We have: 3 0's, 4 1's, 10 2's, 4 3's, 3 4's, 3 5's.",Directed,91,,,1
"We have: 10 0's, 14 1's, 5 2's, 12 3's, 5 4's, 3 5's.","We have: 4 0's, 10 1's, 3 2's, 10 3's, 3 4's.",Directed,92,,,3
"We have: 10 0's, 15 1's, 10 2's, 12 3's, 3 4's, 2 5's.","We have: 3 0's, 10 1's, 3 2's, 10 3's, 2 4's.",Directed,93,,,1
"We have: 10 0's, 15 1's, 4 2's, 10 3's, 10 4's, 10 5's.","We have: 1 0, 5 1's, 3 2's, 5 3's, 4 4's, 4 5's.",Directed,94,,,2
"We have: 10 0's, 15 1's, 5 2's, 11 3's, 4 4's, 10 5's.","We have: 3 0's, 5 1's, 4 2's, 10 3's, 2 4's, 3 5's.",Directed,95,,,14
"We have: 10 0's, 20 1's, 13 2's, 13 3's, 5 4's, 4 5's.","We have: 3 0's, 12 1's, 11 2's, 10 3's, 3 4's, 2 5's.",Directed,96,,,1
"We have: 10 0's, 20 1's, 5 2's, 10 3's, 5 4's, 3 5's.","We have: 2 0's, 13 1's, 3 2's, 4 3's, 4 4's.",Directed,97,,,13
"We have: 10 0's, 20 1's, 5 2's, 5 3's, 5 4's, 10 5's.","We have: 2 0's, 13 1's, 3 2's, 4 3's, 4 4's, 2 5's.",Directed,98,,,1
"We have: 10 0's, 21 1's, 13 2's, 12 3's, 5 4's, 11 5's.","We have: 4 0's, 10 1's, 10 2's, 10 3's, 4 4's, 5 5's.",Directed,99,,,6
"We have: 10 0's, 21 1's, 15 2's, 12 3's, 3 4's, 11 5's.","We have: 4 0's, 10 1's, 12 2's, 10 3's, 2 4's, 5 5's.",Directed,100,,,1
"We have: 10 0's, 21 1's, 22 2's, 20 3's, 13 4's, 5 5's.","We have: 3 0's, 13 1's, 13 2's, 14 3's, 12 4's, 3 5's.",Directed,101,,,3
"We have: 10 0's, 21 1's, 23 2's, 14 3's, 14 4's, 5 5's.","We have: 4 0's, 12 1's, 20 2's, 12 3's, 11 4's, 3 5's.",Directed,102,,,6
"We have: 10 0's, 22 1's, 10 2's, 10 3's, 1 4, 5 5's.","We have: 2 0's, 13 1's, 3 2's, 5 3's, 3 5's.",Directed,103,,,1
"We have: 10 0's, 22 1's, 12 2's, 14 3's, 5 4's, 11 5's.","We have: 4 0's, 12 1's, 4 2's, 13 3's, 3 4's, 5 5's.",Directed,104,,,1
