Source,Target,Type,ID,Label,timeset,Weight
"We have: 11 1's, 11 2's, 5 3's, 4 4's, 6 5's, 3 6's, 2 7's, 1 8, 3 9's.","We have: 5 1's, 9 2's, 2 3's, 2 4's, 4 5's, 1 6, 1 7, 2 9's.",Directed,52,,,1
"We have: 11 1's, 11 2's, 6 3's, 5 4's, 9 5's, 8 6's, 4 7's, 2 8's, 4 9's.","We have: 6 1's, 9 2's, 5 3's, 2 4's, 7 5's, 6 6's, 3 7's, 2 9's.",Directed,53,,,1
"We have: 11 1's, 11 2's, 6 3's, 7 4's, 8 5's, 4 6's, 7 7's, 2 8's, 4 9's.","We have: 6 1's, 9 2's, 5 3's, 4 4's, 7 5's, 2 6's, 4 7's, 3 9's.",Directed,54,,,1
"We have: 11 1's, 11 2's, 7 3's, 2 4's, 8 5's, 7 6's, 7 7's, 4 8's, 3 9's.","We have: 6 1's, 9 2's, 5 3's, 7 5's, 6 6's, 3 7's, 2 8's, 2 9's.",Directed,55,,,1
"We have: 11 1's, 11 2's, 7 3's, 4 4's, 8 5's, 7 6's, 7 7's, 2 8's, 3 9's.","We have: 6 1's, 9 2's, 5 3's, 2 4's, 7 5's, 6 6's, 3 7's, 2 9's.",Directed,56,,,1
"We have: 11 1's, 11 2's, 7 3's, 5 4's, 9 5's, 6 6's, 2 7's, 4 8's, 5 9's.","We have: 6 1's, 9 2's, 6 3's, 3 4's, 6 5's, 4 6's, 3 8's, 3 9's.",Directed,57,,,1
"We have: 11 1's, 11 2's, 8 3's, 3 4's, 6 5's, 8 6's, 2 7's, 5 8's, 2 9's.","We have: 6 1's, 8 2's, 6 3's, 2 4's, 4 5's, 6 6's, 1 7, 2 8's, 1 9.",Directed,58,,,1
"We have: 11 1's, 12 2's, 11 3's, 6 4's, 3 5's, 6 6's, 4 7's, 2 8's, 4 9's.","We have: 5 1's, 9 2's, 9 3's, 3 4's, 2 5's, 3 6's, 3 7's, 1 8, 3 9's.",Directed,59,,,1
"We have: 11 1's, 12 2's, 4 3's, 8 4's, 9 5's, 2 6's, 7 7's, 4 8's, 5 9's.","We have: 7 1's, 9 2's, 3 3's, 5 4's, 7 5's, 1 6, 5 7's, 2 8's, 3 9's.",Directed,60,,,1
"We have: 11 1's, 13 2's, 12 3's, 4 4's, 5 5's, 6 6's, 3 7's, 3 8's, 3 9's.","We have: 6 1's, 11 2's, 7 3's, 2 4's, 3 5's, 4 6's, 2 7's, 2 8's, 2 9's.",Directed,61,,,1
"We have: 11 1's, 13 2's, 6 3's, 3 4's, 9 5's, 5 6's, 6 7's, 4 8's, 4 9's.","We have: 7 1's, 12 2's, 3 3's, 7 5's, 2 6's, 5 7's, 3 8's, 2 9's.",Directed,62,,,1
"We have: 11 1's, 13 2's, 6 3's, 5 4's, 9 5's, 3 6's, 6 7's, 4 8's, 4 9's.","We have: 7 1's, 12 2's, 3 3's, 2 4's, 7 5's, 5 7's, 3 8's, 2 9's.",Directed,63,,,1
"We have: 11 1's, 13 2's, 6 3's, 5 4's, 9 5's, 4 6's, 7 7's, 4 9's.","We have: 7 1's, 12 2's, 4 3's, 2 4's, 7 5's, 2 6's, 5 7's, 2 9's.",Directed,64,,,1
"We have: 11 1's, 13 2's, 6 3's, 6 4's, 7 5's, 6 6's, 7 7's, 4 8's, 3 9's.","We have: 7 1's, 12 2's, 3 3's, 4 4's, 6 5's, 2 6's, 4 7's, 3 8's, 2 9's.",Directed,65,,,1
"We have: 11 1's, 13 2's, 6 3's, 6 4's, 8 5's, 7 6's, 4 7's, 5 8's, 3 9's.","We have: 7 1's, 12 2's, 3 3's, 4 4's, 6 5's, 4 6's, 2 7's, 3 8's, 2 9's.",Directed,66,,,1
"We have: 11 1's, 13 2's, 6 3's, 6 4's, 9 5's, 5 6's, 5 7's, 4 8's, 4 9's.","We have: 7 1's, 12 2's, 4 3's, 3 4's, 6 5's, 2 6's, 4 7's, 3 8's, 2 9's.",Directed,67,,,1
"We have: 11 1's, 13 2's, 7 3's, 6 4's, 7 5's, 7 6's, 7 7's, 1 8, 4 9's.","We have: 6 1's, 12 2's, 5 3's, 4 4's, 6 5's, 5 6's, 2 7's, 3 9's.",Directed,68,,,1
"We have: 11 1's, 13 2's, 7 3's, 6 4's, 8 5's, 5 6's, 6 7's, 4 8's, 3 9's.","We have: 7 1's, 12 2's, 4 3's, 4 4's, 6 5's, 2 6's, 4 7's, 2 8's, 2 9's.",Directed,69,,,1
"We have: 11 1's, 13 2's, 7 3's, 7 4's, 7 5's, 3 6's, 7 7's, 4 8's, 4 9's.","We have: 7 1's, 12 2's, 4 3's, 4 4's, 6 5's, 2 6's, 2 7's, 3 8's, 3 9's.",Directed,70,,,1
"We have: 11 1's, 13 2's, 8 3's, 3 4's, 8 5's, 3 6's, 6 7's, 6 8's, 3 9's.","We have: 7 1's, 12 2's, 3 3's, 2 4's, 7 5's, 5 7's, 3 8's, 2 9's.",Directed,71,,,1
"We have: 11 1's, 13 2's, 8 3's, 4 4's, 8 5's, 4 6's, 4 7's, 6 8's, 3 9's.","We have: 7 1's, 12 2's, 5 3's, 7 5's, 2 6's, 3 7's, 3 8's, 2 9's.",Directed,72,,,1
"We have: 11 1's, 13 2's, 8 3's, 4 4's, 9 5's, 3 6's, 4 7's, 5 8's, 4 9's.","We have: 7 1's, 12 2's, 5 3's, 7 5's, 2 6's, 3 7's, 3 8's, 2 9's.",Directed,73,,,1
"We have: 11 1's, 13 2's, 9 3's, 3 4's, 9 5's, 3 6's, 4 7's, 4 8's, 5 9's.","We have: 7 1's, 12 2's, 5 3's, 7 5's, 2 6's, 3 7's, 3 8's, 2 9's.",Directed,74,,,1
"We have: 11 1's, 13 2's, 9 3's, 5 4's, 9 5's, 3 6's, 4 7's, 4 8's, 3 9's.","We have: 7 1's, 12 2's, 5 3's, 2 4's, 7 5's, 2 6's, 3 7's, 3 8's.",Directed,75,,,1
"We have: 11 1's, 14 2's, 11 4's, 5 5's, 7 6's, 2 7's, 1 8, 5 9's.","We have: 4 1's, 12 2's, 9 4's, 2 5's, 6 6's, 4 9's.",Directed,76,,,1
"We have: 11 1's, 14 2's, 1 3, 11 4's, 5 5's, 7 6's, 2 7's, 5 9's.","We have: 4 1's, 12 2's, 9 4's, 2 5's, 6 6's, 4 9's.",Directed,77,,,1
"We have: 11 1's, 14 2's, 4 3's, 6 4's, 9 5's, 5 6's, 6 7's, 4 8's, 2 9's.","We have: 7 1's, 12 2's, 3 3's, 2 4's, 7 5's, 2 6's, 5 7's, 3 8's.",Directed,78,,,1
"We have: 11 1's, 14 2's, 6 3's, 5 4's, 9 5's, 2 6's, 7 7's, 3 8's, 4 9's.","We have: 7 1's, 12 2's, 4 3's, 2 4's, 7 5's, 5 7's, 2 8's, 2 9's.",Directed,79,,,1
"We have: 11 1's, 14 2's, 6 3's, 5 4's, 9 5's, 4 6's, 7 7's, 3 8's, 2 9's.","We have: 7 1's, 12 2's, 4 3's, 2 4's, 7 5's, 2 6's, 5 7's, 2 8's.",Directed,80,,,1
"We have: 11 1's, 14 2's, 6 3's, 6 4's, 9 5's, 5 6's, 4 7's, 4 8's, 2 9's.","We have: 7 1's, 12 2's, 5 3's, 2 4's, 7 5's, 2 6's, 3 7's, 3 8's.",Directed,81,,,1
"We have: 11 1's, 2 2's, 6 3's, 5 4's, 6 5's, 4 6's, 1 7, 1 8, 1 9.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",Directed,82,,,3
"We have: 11 1's, 2 2's, 7 3's, 7 4's, 7 5's, 6 6's, 5 7's, 1 8, 1 9.","We have: 6 1's, 6 3's, 6 4's, 5 5's, 4 6's, 1 7.",Directed,83,,,1
"We have: 11 1's, 2 2's, 9 3's, 5 4's, 7 5's, 6 6's, 7 7's, 1 8, 3 9's.","We have: 7 1's, 7 3's, 4 4's, 5 5's, 4 6's, 4 7's, 1 9.",Directed,84,,,1
"We have: 11 1's, 3 2's, 9 3's, 4 4's, 1 5, 4 6's, 4 7's, 2 8's, 3 9's.","We have: 7 1's, 1 2, 6 3's, 3 6's, 3 7's, 1 8, 1 9.",Directed,85,,,6
"We have: 11 1's, 3 2's, 9 3's, 4 4's, 2 5's, 4 6's, 4 7's, 1 8, 3 9's.","We have: 7 1's, 1 2, 6 3's, 1 5, 3 6's, 3 7's, 1 9.",Directed,86,,,1
