Source,Target,Type,ID,Label,timeset,Weight
"We have: 100101111 0's, 101111000 1's.","We have: 100100111 0's, 101101100 1's.",Directed,89,,,26
"We have: 10011 0's, 11111 1's.","We have: 10000 0's, 10110 1's.",Directed,90,,,21
"We have: 100110 0's, 101001 1's.","We have: 11111 0's, 100010 1's.",Directed,91,,,3
"We have: 100110 0's, 11100 1's.","We have: 100000 0's, 10101 1's.",Directed,92,,,2
"We have: 1001100 0's, 1001110 1's.","We have: 1000100 0's, 1000110 1's.",Directed,93,,,2
"We have: 10011000 0's, 10101010 1's.","We have: 10001110 0's, 10100010 1's.",Directed,94,,,56
"We have: 10011000 0's, 10111010 1's.","We have: 10001111 0's, 10110001 1's.",Directed,95,,,6
"We have: 100110000 0's, 101110111 1's.","We have: 100100111 0's, 101101100 1's.",Directed,96,,,8
"We have: 100110001 0's, 101110110 1's.","We have: 100101000 0's, 101101011 1's.",Directed,97,,,1
"We have: 10011001 0's, 10101001 1's.","We have: 10010000 0's, 10100000 1's.",Directed,98,,,4
"We have: 10011001 0's, 10111001 1's.","We have: 10010001 0's, 10101111 1's.",Directed,99,,,4
"We have: 100110011 0's, 101100000 1's.","We have: 100101000 0's, 101010111 1's.",Directed,100,,,6
"We have: 1001101 0's, 1001101 1's.","We have: 1000110 0's, 1000100 1's.",Directed,101,,,2
"We have: 1001101 0's, 1011100 1's.","We have: 1000110 0's, 1010011 1's.",Directed,102,,,4
"We have: 10011010 0's, 10101000 1's.","We have: 10010000 0's, 10100000 1's.",Directed,103,,,2
"We have: 10011010 0's, 10111000 1's.","We have: 10010001 0's, 10101111 1's.",Directed,104,,,1
"We have: 100111 0's, 101000 1's.","We have: 100000 0's, 100001 1's.",Directed,105,,,1
"We have: 100111 0's, 110100 1's.","We have: 100001 0's, 101100 1's.",Directed,106,,,16
"We have: 1001110 0's, 1001100 1's.","We have: 1000110 0's, 1000100 1's.",Directed,107,,,5
"We have: 1001110 0's, 1011011 1's.","We have: 1001000 0's, 1010001 1's.",Directed,108,,,1
"We have: 10011100 0's, 10100110 1's.","We have: 10010011 0's, 10011101 1's.",Directed,109,,,1
"We have: 10011100 0's, 10110110 1's.","We have: 10010100 0's, 10101100 1's.",Directed,110,,,1
"We have: 100111001 0's, 110000010 1's.","We have: 100101110 0's, 101111001 1's.",Directed,111,,,21
"We have: 10011101 0's, 10110111 1's.","We have: 10010111 0's, 10101011 1's.",Directed,112,,,1
"We have: 100111010 0's, 110000001 1's.","We have: 100101111 0's, 101111000 1's.",Directed,113,,,25
"We have: 100111011 0's, 101101100 1's.","We have: 100110011 0's, 101100000 1's.",Directed,114,,,5
"We have: 100111011 0's, 110000000 1's.","We have: 100110000 0's, 101110111 1's.",Directed,115,,,7
"We have: 1001111 0's, 1011010 1's.","We have: 1001001 0's, 1010000 1's.",Directed,116,,,309
"We have: 10011110 0's, 10110110 1's.","We have: 10010111 0's, 10101011 1's.",Directed,117,,,1
