Input,Output
"[110001, 111010]","[101011, 110010]"
"[111001, 1000001]","[110001, 111010]"
"[111110, 1001011]","[111001, 1000001]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111010, 1000000]","[110001, 111010]"
"[111111, 1001010]","[111010, 1000000]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[110111, 1000011]","[110001, 111010]"
"[1000001, 1001001]","[110111, 1000011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[110111, 1000011]","[110001, 111010]"
"[1000010, 1001000]","[110111, 1000011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111010, 1000000]","[110001, 111010]"
"[1000100, 1000110]","[111010, 1000000]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
"[1000101, 1000101]","[111100, 111110]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
