Input,Output,SUM
"[101000100, 101110111]","[100111011, 101101100]",4
"[101000100, 110001011]","[100111001, 110000010]",19
"[101000101, 110001010]","[100111010, 110000001]",23
"[10100011, 10110001]","[10011010, 10101000]",1
"[10100011, 11000001]","[10011001, 10111001]",3
"[101000110, 110001001]","[100111011, 110000000]",6
"[1010010, 1100101]","[1001010, 1011101]",3
"[10100100, 10110000]","[10011001, 10101001]",2
"[10100100, 11000000]","[10011000, 10111010]",3
"[1010011, 1001000]","[1001010, 1000001]",7
"[1010011, 1010111]","[1001101, 1001101]",1
"[101001101, 110010110]","[101000100, 110001011]",18
"[10100111, 10111111]","[10100010, 10110010]",1
"[10100111, 11001111]","[10100001, 11000011]",29
"[101001110, 110010101]","[101000101, 110001010]",1
"[101001111, 110000000]","[101000100, 101110111]",3
"[101001111, 110010100]","[101000110, 110001001]",1
"[10101, 10011]","[10000, 1100]",365
"[1010100, 1010110]","[1001100, 1001110]",1
"[10101000, 10111110]","[10100000, 10110100]",3
"[10101000, 11001110]","[10011111, 11000101]",1
"[101010000, 110010011]","[101000101, 110001010]",21
"[101010001, 110010010]","[101000110, 110001001]",4
"[10101001, 10111101]","[10100010, 10110010]",50
"[10101001, 11001101]","[10100001, 11000011]",3
"[1010101, 1010101]","[1001110, 1001100]",1
"[1010101, 1100100]","[1001101, 1011100]",3
"[10101010, 10111100]","[10100010, 10110010]",2
"[10101010, 11001100]","[10100001, 11000011]",138
"[10101011, 11001011]","[10100100, 11000000]",2
"[101010111, 110100000]","[101001101, 110010110]",17
"[101011, 100101]","[100101, 11101]",27
"[101011, 110010]","[100101, 101010]",354
"[101011, 111110]","[100111, 110100]",9
"[1010110, 1010100]","[1001110, 1001100]",3
"[1010110, 1100011]","[1001111, 1011010]",93
"[10101100, 10111010]","[10100100, 10110000]",1
"[10101100, 11001010]","[10100011, 11000001]",2
"[101011000, 110011111]","[101010000, 110010011]",20
"[101011001, 110001010]","[101001111, 110000000]",2
"[101011001, 110011110]","[101010001, 110010010]",3
"[10101101, 11011011]","[10100111, 11001111]",22
"[1010111, 1100010]","[1010000, 1011001]",18
"[10101110, 11011010]","[10100111, 11001111]",6
"[10101111, 11001001]","[10101000, 10111110]",2
"[10101111, 11011001]","[10101001, 11001101]",2
"[101011110, 110101101]","[101010111, 110100000]",8
"[101011111, 110101100]","[101011000, 110011111]",17
"[1011, 11001]","[111, 10010]",1
"[10110, 10010]","[10000, 1100]",2
"[10110, 11101]","[10010, 10101]",6
"[101100, 110001]","[100101, 101010]",2
"[101100, 111101]","[100111, 110100]",6
"[1011000, 1100001]","[1001111, 1011010]",213
"[1011000, 1101111]","[1010010, 1100101]",2
"[101100001, 110101010]","[101010111, 110100000]",8
"[10110001, 11000111]","[10101001, 10111101]",48
"[10110001, 11010111]","[10101010, 11001100]",136
"[101100010, 110101001]","[101011000, 110011111]",2
"[101100011, 110010100]","[101011001, 110001010]",1
"[101100011, 110101000]","[101011001, 110011110]",2
"[1011001, 1100000]","[1010000, 1011001]",3
"[10110010, 11000110]","[10101001, 10111101]",1
"[10110010, 11010110]","[10101010, 11001100]",1
"[10110011, 11010101]","[10101100, 11001010]",1
"[10110011, 11100111]","[10101101, 11011011]",21
"[101100110, 110111001]","[101011110, 110101101]",7
"[101100111, 110111000]","[101011111, 110101100]",16
"[101101, 110000]","[100110, 101001]",2
"[101101, 111100]","[101000, 110011]",1
"[1011010, 1101111]","[1010101, 1100100]",2
"[10110100, 11000100]","[10101010, 10111100]",1
"[10110100, 11010100]","[10101011, 11001011]",1
"[101101001, 110110110]","[101100001, 110101010]",7
"[10110101, 11100101]","[10101110, 11011010]",2
"[101101010, 110110101]","[101100010, 110101001]",1
"[101101011, 110110100]","[101100011, 110101000]",1
"[1011011, 1010000]","[1010011, 1001000]",6
"[1011011, 1101110]","[1010110, 1100011]",90
"[10110110, 11100100]","[10101110, 11011010]",3
"[10110111, 11010011]","[10110001, 11000111]",1
"[10110111, 11100011]","[10110001, 11010111]",1
"[101101110, 111000101]","[101100110, 110111001]",5
"[101101111, 111000100]","[101100111, 110111000]",8
"[1011100, 1011110]","[1010110, 1010100]",2
"[1011100, 1101101]","[1010110, 1100011]",2
"[10111000, 11010010]","[10101111, 11001001]",1
"[10111000, 11100010]","[10101111, 11011001]",1
"[101110000, 111000011]","[101100110, 110111001]",1
"[101110001, 111000010]","[101100111, 110111000]",7
"[10111001, 11010001]","[10110001, 11000111]",31
"[10111001, 11100001]","[10110001, 11010111]",107
"[10111001, 11110011]","[10110011, 11100111]",1
"[101110011, 111000000]","[101101001, 110110110]",6
"[1011101, 1101100]","[1010111, 1100010]",3
"[1011101, 1111010]","[1011000, 1101111]",1
"[10111010, 11010000]","[10110001, 11000111]",15
"[10111010, 11100000]","[10110001, 11010111]",27
"[10111010, 11110010]","[10110011, 11100111]",19
"[10111011, 11110001]","[10110101, 11100101]",1
"[101110110, 111010001]","[101101110, 111000101]",4
"[101110111, 111010000]","[101101111, 111000100]",7
"[101111, 111100]","[101011, 110010]",2
"[1011110, 1101011]","[1011001, 1100000]",2
"[1011110, 1111011]","[1011010, 1101111]",1
"[101111000, 111001111]","[101110001, 111000010]",6
"[10111101, 11011111]","[10111001, 11010001]",17
"[10111101, 11101111]","[10111001, 11100001]",11
"[101111010, 111001101]","[101110011, 111000000]",5
"[1011111, 1111010]","[1011011, 1101110]",89
"[10111110, 11011110]","[10111001, 11010001]",1
"[10111110, 11101110]","[10111001, 11100001]",90
"[101111100, 111011111]","[101110111, 111010000]",3
"[101111101, 111011110]","[101111000, 111001111]",3
"[10111111, 11111111]","[10111101, 11101111]",1
"[101111111, 111011100]","[101111010, 111001101]",4
"[11, 100]","[0, 0]",410
"[11, 1100]","[0, 111]",27
"[1100, 1111]","[1001, 1000]",8
"[11000, 10000]","[10000, 1100]",32
"[110000, 100000]","[100110, 11100]",1
"[1100000, 1101001]","[1010111, 1100010]",14
"[11000000, 11101100]","[10110110, 11100100]",2
"[110000000, 111011011]","[101110110, 111010001]",3
"[110000001, 111011010]","[101110111, 111010000]",3
"[11000001, 11011011]","[10111001, 11010001]",11
"[11000001, 11101011]","[10111001, 11100001]",1
"[11000001, 11111101]","[10111010, 11110010]",3
"[110000010, 111011001]","[101111000, 111001111]",2
"[1100001, 1101000]","[1011000, 1100001]",212
"[11000010, 11011010]","[10111001, 11010001]",1
"[11000010, 11101010]","[10111001, 11100001]",4
"[11000010, 11111100]","[10111010, 11110010]",15
"[110000101, 111101010]","[101111100, 111011111]",2
"[11000011, 11111011]","[10111101, 11101111]",9
"[110000110, 111101001]","[101111101, 111011110]",2
"[110001, 101101]","[101011, 100101]",25
"[110001, 111010]","[101011, 110010]",351
"[1100010, 1110111]","[1011100, 1101101]",1
"[11000100, 11011000]","[10111010, 11010000]",14
"[11000100, 11101000]","[10111010, 11100000]",26
"[110001000, 111100111]","[101111111, 111011100]",3
"[110001001, 111100110]","[110000000, 111011011]",2
"[11000101, 11101001]","[10111101, 11011111]",2
"[11000101, 11111001]","[10111110, 11101110]",88
"[110001010, 111100101]","[110000001, 111011010]",2
"[110001011, 111100100]","[110000010, 111011001]",1
"[1100011, 1011000]","[1011011, 1010000]",5
"[1100011, 1110110]","[1011101, 1101100]",1
"[11000110, 11101000]","[10111101, 11011111]",14
"[11000110, 11111000]","[10111110, 11101110]",1
"[110001100, 111110111]","[110000101, 111101010]",1
"[110001101, 111110110]","[110000110, 111101001]",1
"[11000111, 11100111]","[11000001, 11011011]",5
"[11000111, 11110111]","[11000010, 11101010]",1
"[110001111, 111110100]","[110001000, 111100111]",1
"[11001, 100110]","[10011, 11111]",20
"[11001, 11011]","[10101, 10011]",359
"[110010, 101100]","[101011, 100101]",1
"[110010, 111001]","[101100, 110001]",1
"[1100100, 1100110]","[1011100, 1011110]",1
"[1100100, 1110101]","[1011101, 1101100]",1
"[11001000, 11110110]","[11000000, 11101100]",1
"[110010001, 111110010]","[110001000, 111100111]",1
"[11001001, 11100101]","[11000001, 11011011]",4
"[11001001, 11110101]","[11000010, 11101010]",1
"[110010010, 111110001]","[110001001, 111100110]",1
"[110010011, 111110000]","[110001010, 111100101]",1
"[1100101, 1110100]","[1011110, 1101011]",1
"[11001010, 11100100]","[11000001, 11011011]",1
"[11001010, 11110100]","[11000010, 11101010]",1
"[11001011, 100000110]","[11000001, 11111101]",1
"[11001011, 11100011]","[11000100, 11011000]",13
"[11001011, 11110101]","[11000101, 11101001]",1
"[110011, 1000101]","[101100, 111101]",5
"[110011, 111000]","[101101, 110000]",1
"[1100110, 1110011]","[1100000, 1101001]",2
"[11001100, 100000101]","[11000001, 11111101]",1
"[11001100, 11110010]","[11000100, 11101000]",25
"[11001101, 100000100]","[11000010, 11111100]",14
"[11001101, 11110011]","[11000111, 11100111]",1
"[1100111, 10000011]","[1011111, 1111010]",3
"[1100111, 1110010]","[1100001, 1101000]",200
"[11001110, 11110010]","[11000111, 11100111]",3
"[11001111, 100000010]","[11000101, 11111001]",87
"[11001111, 11110001]","[11001001, 11100101]",3
"[11010, 11010]","[10101, 10011]",5
"[110100, 1000100]","[101011, 111110]",8
"[1101000, 1110001]","[1100000, 1101001]",11
"[11010000, 100000001]","[11000011, 11111011]",8
"[11010000, 11110000]","[11000110, 11101000]",13
"[11010001, 11101111]","[11001011, 11100011]",11
"[11010001, 11111111]","[11001100, 11110010]",23
"[1101001, 10000001]","[1011111, 1111010]",82
"[1101001, 1110000]","[1100001, 1101000]",11
"[11010010, 11101110]","[11001011, 11100011]",1
"[11010010, 11111110]","[11001100, 11110010]",1
"[11010011, 11111111]","[11001111, 11110001]",2
"[110101, 110111]","[110001, 101101]",1
"[1101010, 10000000]","[1011111, 1111010]",3
"[1101010, 1111111]","[1100110, 1110011]",1
"[11010100, 11111110]","[11001110, 11110010]",2
"[11010101, 100001111]","[11001101, 100000100]",8
"[11010101, 11111101]","[11010000, 11110000]",7
"[1101011, 1100000]","[1100011, 1011000]",4
"[1101011, 1111110]","[1100111, 1110010]",2
"[11010110, 100001110]","[11001101, 100000100]",3
"[11010110, 11111100]","[11010000, 11110000]",5
"[11010111, 100001101]","[11001111, 100000010]",86
"[11011, 100101]","[10110, 11101]",3
"[110110, 110110]","[110001, 101101]",1
"[1101100, 1111101]","[1100111, 1110010]",197
"[11011000, 100001100]","[11001101, 100000100]",2
"[11011000, 11111010]","[11010001, 11101111]",10
"[11011001, 100001011]","[11010000, 100000001]",2
"[1101101, 1111100]","[1101000, 1110001]",10
"[11011010, 100001010]","[11010000, 100000001]",5
"[11011011, 100001000]","[11010001, 11111111]",22
"[110111, 1000011]","[110001, 111010]",4
"[1101110, 10001101]","[1100111, 10000011]",1
"[11011101, 100001000]","[11010011, 11111111]",1
"[11011101, 100011010]","[11010101, 100001111]",7
"[11011110, 100000111]","[11010110, 11111100]",4
"[11011110, 100011001]","[11010110, 100001110]",1
"[11011111, 100011000]","[11010111, 100001101]",84
"[111, 10010]","[11, 1100]",2
"[11100, 11000]","[10110, 10010]",1
"[111000, 1000010]","[101111, 111100]",1
"[111000, 110100]","[110001, 101101]",22
"[1110000, 10001011]","[1100111, 10000011]",1
"[1110000, 1111001]","[1101001, 1110000]",10
"[11100000, 100000101]","[11010100, 11111110]",1
"[11100000, 100010111]","[11010110, 100001110]",1
"[11100001, 100000100]","[11010101, 11111101]",6
"[11100001, 100010110]","[11010111, 100001101]",1
"[11100010, 100010101]","[11011000, 100001100]",1
"[11100011, 100000010]","[11011000, 11111010]",2
"[11100011, 100010100]","[11011001, 100001011]",1
"[111001, 1000001]","[110001, 111010]",10
"[111001, 1001110]","[110011, 1000101]",4
"[1110010, 10001001]","[1101001, 10000001]",81
"[1110010, 1101001]","[1101011, 1100000]",3
"[11100100, 100000001]","[11011000, 11111010]",7
"[11100100, 100010011]","[11011010, 100001010]",4
"[11100101, 100010001]","[11011011, 100001000]",2
"[1110011, 10000111]","[1101100, 1111101]",196
"[1110011, 10001000]","[1101010, 10000000]",2
"[11100110, 100010000]","[11011011, 100001000]",19
"[11100111, 100010001]","[11011110, 100000111]",3
"[11100111, 100100011]","[11011111, 100011000]",2
"[111010, 1000000]","[110001, 111010]",336
"[111010, 1001101]","[110100, 1000100]",6
"[1110100, 10000110]","[1101011, 1111110]",1
"[11101000, 100100010]","[11011101, 100011010]",6
"[11101001, 100001111]","[11100001, 100000100]",2
"[11101001, 100100001]","[11011111, 100011000]",77
"[1110101, 10000101]","[1101101, 1111100]",1
"[11101010, 100001110]","[11100001, 100000100]",3
"[11101010, 100100000]","[11011111, 100011000]",4
"[11101011, 100001101]","[11100011, 100000010]",1
"[1110110, 10000100]","[1101101, 1111100]",8
"[11101100, 100011110]","[11100100, 100010011]",3
"[11101101, 100011100]","[11100101, 100010001]",1
"[1110111, 10000011]","[1110000, 1111001]",6
"[1110111, 1110100]","[1110010, 1101001]",1
"[11101110, 100011101]","[11100111, 100010001]",1
"[11101110, 100101111]","[11101000, 100100010]",1
"[11101111, 100101110]","[11101001, 100100001]",76
"[11110, 100011]","[11001, 11011]",358
"[11110, 101111]","[11011, 100101]",2
"[111100, 111110]","[111000, 110100]",12
"[1111000, 1110011]","[1110010, 1101001]",1
"[11110000, 100001000]","[11100100, 100000001]",6
"[11110000, 100011001]","[11100110, 100010000]",18
"[11110000, 100011011]","[11100111, 100010001]",1
"[11110000, 100101101]","[11100111, 100100011]",1
"[11110001, 100101100]","[11101000, 100100010]",4
"[1111001, 10000001]","[1110000, 1111001]",2
"[1111001, 10010011]","[1110010, 10001001]",66
"[11110010, 100011001]","[11101001, 100001111]",1
"[11110010, 100101011]","[11101010, 100100000]",3
"[11110011, 100011000]","[11101010, 100001110]",2
"[111101, 1001100]","[110111, 1000011]",1
"[1111010, 10000000]","[1110000, 1111001]",1
"[1111010, 10010010]","[1110010, 10001001]",14
"[11110101, 100101000]","[11101100, 100011110]",2
"[11110101, 100111011]","[11101111, 100101110]",3
"[1111011, 10010000]","[1110011, 10000111]",194
"[11110110, 100111010]","[11101111, 100101110]",31
"[11110111, 100100101]","[11110000, 100011001]",17
"[11110111, 100111001]","[11110001, 100101100]",3
"[11111, 100010]","[11010, 11010]",4
"[111110, 1001011]","[111001, 1000001]",9
"[1111100, 10001111]","[1110110, 10000100]",1
"[1111100, 10010000]","[1110011, 10001000]",1
"[11111000, 100111000]","[11101111, 100101110]",41
"[11111001, 100010010]","[11110000, 100001000]",5
"[1111101, 10001110]","[1110111, 10000011]",4
"[11111011, 100110101]","[11110101, 100101000]",1
"[111111, 1001010]","[111010, 1000000]",332
"[1111110, 10011111]","[1111010, 10010010]",2
"[11111100, 100100010]","[11110011, 100011000]",1
"[11111100, 101000111]","[11110101, 100111011]",1
"[11111101, 101000110]","[11110110, 100111010]",26
"[1111111, 10001100]","[1111001, 10000001]",1
"[1111111, 10011101]","[1111011, 10010000]",193
"[11111110, 100110001]","[11110111, 100100101]",13
"[11111110, 101000101]","[11110111, 100111001]",2
"[11111111, 101000100]","[11111000, 100111000]",40
